step,hour,total_load,total_solar,net_demand,grid_power,grid_import,grid_export,voltage_violations,min_voltage,max_voltage,reward,voltage_node_0,voltage_node_1,voltage_node_2,voltage_node_3,voltage_node_4,voltage_node_5,voltage_node_6,voltage_node_7,voltage_node_8,voltage_node_9,voltage_node_10
19,4.75,24.624815569804607,0.0,24.624815569804607,24.624815569804607,24.624815569804607,0.0,0,0.9877082,0.99790853,-103.42422539317934,0.99790853,0.9959752,0.9941915,0.9926245,0.99121845,0.99005103,0.98924774,0.98856854,0.98805684,0.9877407,0.9877082
20,5.0,24.73207337337495,0.0,24.73207337337495,24.73207337337495,24.73207337337495,0.0,0,0.9877588,0.9979002,-103.87470816817476,0.9979002,0.99601364,0.9943103,0.9927897,0.99145144,0.99029124,0.9894298,0.9886852,0.98813325,0.98779136,0.9877588
21,5.25,23.119989223122275,0.0,23.119989223122275,23.119989223122275,23.119989223122275,0.0,0,0.98854476,0.9980357,-97.10395473711355,0.9980357,0.99629205,0.9947505,0.99334246,0.9921043,0.9910196,0.99017817,0.98949146,0.98893875,0.98857725,0.98854476
22,5.5,22.61575165507468,0.0,22.61575165507468,22.61575165507468,22.61575165507468,0.0,0,0.98864764,0.9980779,-94.98615695131366,0.9980779,0.9963942,0.9949159,0.9935346,0.99233615,0.99125415,0.99037737,0.98964906,0.9890695,0.9886801,0.98864764
23,5.75,19.212587281986046,0.0,19.212587281986046,19.212587281986046,19.212587281986046,0.0,0,0.9908102,0.99836385,-80.69286658434139,0.99836385,0.9969788,0.9958168,0.99469423,0.9937643,0.9928713,0.99216795,0.9916112,0.99115175,0.99084264,0.9908102
24,6.0,18.221857531942547,0.0,18.221857531942547,18.221857531942547,18.221857531942547,0.0,0,0.99146444,0.99844694,-127.55300272359784,0.99844694,0.99714595,0.9960494,0.9949891,0.9941561,0.9933707,0.9927061,0.9921924,0.99177474,0.99149686,0.99146444
25,6.25,17.80622124718537,0.0,17.80622124718537,17.80622124718537,17.80622124718537,0.0,0,0.9923266,0.9984826,-124.64354873029761,0.9984826,0.9972249,0.99620575,0.9952611,0.9945485,0.9939109,0.993357,0.9929274,0.9925876,0.992359,0.9923266
26,6.5,15.669705871573118,0.0,15.669705871573118,15.669705871573118,15.669705871573118,0.0,0,0.99359614,0.9986611,-109.6879411010118,0.9986611,0.99759555,0.996764,0.9959795,0.99541736,0.99491864,0.994467,0.9941278,0.9938398,0.99362844,0.99359614
27,6.75,14.109840118077203,0.0,14.109840118077203,14.109840118077203,14.109840118077203,0.0,0,0.99440944,0.998791,-98.76888082654041,0.998791,0.9978227,0.9970895,0.99639744,0.9959176,0.9954941,0.99513084,0.99485654,0.9946181,0.9944417,0.99440944
28,7.0,11.124194358340368,0.0,11.124194358340368,11.124194358340368,11.124194358340368,0.0,0,0.99591607,0.9990392,-77.86936050838258,0.9990392,0.99828196,0.99770695,0.9971804,0.9968282,0.9965525,0.9963286,0.99618465,0.9960576,0.9959483,0.99591607
29,7.25,9.90969472981334,0.0,9.90969472981334,9.90969472981334,9.90969472981334,0.0,0,0.99625456,0.99913985,-69.3678631086934,0.99913985,0.99844867,0.9979319,0.99746984,0.9971457,0.99687356,0.9966475,0.9964991,0.99637264,0.99628675,0.99625456
30,7.5,8.3089551819943,0.0,8.3089551819943,8.3089551819943,8.3089551819943,0.0,0,0.99673295,0.99927247,-58.162686273960084,0.99927247,0.99868536,0.9982169,0.99781114,0.99753374,0.9972835,0.9970916,0.99695677,0.99684834,0.99676514,0.99673295
31,7.75,6.899363276911357,0.0,6.899363276911357,6.899363276911357,6.899363276911357,0.0,0,0.9969757,0.9993892,-48.2955429383795,0.9993892,0.99888164,0.99846154,0.9980878,0.99780715,0.9975841,0.9974002,0.99723685,0.99710214,0.9970079,0.9969757
32,8.0,7.285871009229918,0.0,7.285871009229918,7.285871009229918,7.285871009229918,0.0,0,0.99658805,0.9993569,-51.001097064609425,0.9993569,0.9987995,0.99830145,0.9978769,0.9975147,0.9972333,0.9970142,0.99683875,0.99670386,0.9966203,0.99658805
33,8.25,5.523652145743464,0.0,5.523652145743464,5.523652145743464,5.523652145743464,0.0,0,0.9972648,0.99950296,-38.66556502020425,0.99950296,0.9990535,0.99864995,0.99831986,0.99802035,0.9977883,0.99762577,0.99749255,0.997373,0.997297,0.9972648
34,8.5,5.742496793768522,0.0,5.742496793768522,5.742496793768522,5.742496793768522,0.0,0,0.99700385,0.9994847,-40.197477556379646,0.9994847,0.99901193,0.9985691,0.99819255,0.99786633,0.997624,0.9974505,0.99728733,0.997148,0.9970361,0.99700385
35,8.75,5.5289763212828325,0.0,5.5289763212828325,5.5289763212828325,5.5289763212828325,0.0,0,0.9970439,0.9995024,-38.70283424897983,0.9995024,0.99905354,0.9986439,0.99827933,0.9979658,0.9977022,0.99750066,0.99732167,0.99717873,0.99707615,0.9970439
36,9.0,4.724752110852866,0.0,4.724752110852866,4.724752110852866,4.724752110852866,0.0,0,0.9975954,0.9995691,-33.07326477597006,0.9995691,0.9991924,0.9988587,0.99856985,0.9983028,0.9980925,0.99794763,0.9978229,0.99771774,0.9976276,0.9975954
37,9.25,5.763203075130476,0.0,5.763203075130476,5.763203075130476,5.763203075130476,0.0,0,0.997008,0.999483,-40.34242152591334,0.999483,0.99900246,0.99855983,0.9981777,0.9978496,0.99759465,0.9974124,0.99725866,0.99713844,0.9970402,0.997008
38,9.5,5.183112483085619,0.0,5.183112483085619,5.183112483085619,5.183112483085619,0.0,0,0.9973721,0.99953115,-36.28178738159933,0.99953115,0.9991292,0.9987567,0.9984352,0.9981517,0.9979161,0.9977472,0.99760133,0.99749017,0.9974043,0.9973721
39,9.75,5.010699743592626,0.0,5.010699743592626,5.010699743592626,5.010699743592626,0.0,0,0.99745554,0.99954545,-35.074898205148386,0.99954545,0.9991453,0.9987951,0.9984873,0.9982273,0.9980396,0.99787426,0.99771714,0.99758446,0.9974877,0.99745554
40,10.0,5.209482363854546,0.0,5.209482363854546,5.209482363854546,5.209482363854546,0.0,0,0.9972786,0.99952894,-36.46637654698183,0.99952894,0.9991091,0.9987253,0.99839497,0.9981001,0.9978632,0.997685,0.9975381,0.99740374,0.99731076,0.9972786
41,10.25,4.923849151403173,0.0,4.923849151403173,4.923849151403173,4.923849151403173,0.0,0,0.99743503,0.9995526,-34.46694405982222,0.9995526,0.99913484,0.9987567,0.9984383,0.9981735,0.9979631,0.9978187,0.9976844,0.9975584,0.9974672,0.99743503
42,10.5,5.125645426215207,0.0,5.125645426215207,5.125645426215207,5.125645426215207,0.0,0,0.9974658,0.9995359,-35.87951798350646,0.9995359,0.9991123,0.9987306,0.9984161,0.9981458,0.9979564,0.99781054,0.99769425,0.997592,0.997498,0.9974658
43,10.75,6.3950224192754,0.0,6.3950224192754,6.3950224192754,6.3950224192754,0.0,0,0.99671054,0.99943066,-44.765156934927816,0.99943066,0.99891007,0.9984446,0.9980438,0.99768156,0.99739563,0.9971789,0.9969931,0.9968515,0.9967427,0.99671054
44,11.0,4.192555769791295,0.0,4.192555769791295,4.192555769791295,4.192555769791295,0.0,0,0.99770576,0.9996131,-29.34789038853907,0.9996131,0.99926174,0.9989345,0.9986634,0.9984048,0.99819475,0.9980273,0.9979016,0.99780786,0.9977379,0.99770576
45,11.25,4.682634381170387,0.0,4.682634381170387,4.682634381170387,4.682634381170387,0.0,0,0.99763817,0.99957263,-32.77844066819271,0.99957263,0.99919444,0.9988595,0.998576,0.9983138,0.9981073,0.99797124,0.99784344,0.9977363,0.99767035,0.99763817
46,11.5,4.626238182697249,0.0,4.626238182697249,4.626238182697249,4.626238182697249,0.0,0,0.9974568,0.9995772,-32.38366727888074,0.9995772,0.9992121,0.99886453,0.9985698,0.9982891,0.99805826,0.9978673,0.99770844,0.9975774,0.997489,0.9974568
47,11.75,5.573213419076048,0.0,5.573213419076048,5.573213419076048,5.573213419076048,0.0,0,0.997192,0.9994988,-39.01249393353233,0.9994988,0.999042,0.9986288,0.99827224,0.99795544,0.9977052,0.997518,0.99739194,0.99728936,0.9972242,0.997192
48,12.0,4.749228847567561,0.0,4.749228847567561,4.749228847567561,4.749228847567561,0.0,0,0.99737275,0.999567,-33.24460193297293,0.999567,0.999166,0.9987992,0.99845946,0.9981498,0.9979229,0.9977551,0.9976126,0.9974923,0.99740493,0.99737275
49,12.25,5.335942957680005,0.0,5.335942957680005,5.335942957680005,5.335942957680005,0.0,0,0.997385,0.9995185,-37.35160070376004,0.9995185,0.99907994,0.99867165,0.9983458,0.99805784,0.99785715,0.9977239,0.99760425,0.9974999,0.9974172,0.997385
50,12.5,5.66201023046024,0.0,5.66201023046024,5.66201023046024,5.66201023046024,0.0,0,0.997132,0.99949145,-39.634071613221664,0.99949145,0.9990284,0.99860954,0.9982716,0.99795276,0.9977062,0.9975307,0.9973683,0.9972515,0.9971642,0.997132
51,12.75,6.465200539437694,0.0,6.465200539437694,6.465200539437694,6.465200539437694,0.0,0,0.99682623,0.9994249,-45.256403776063856,0.9994249,0.9988943,0.99840724,0.9980076,0.9976391,0.99738955,0.9972041,0.9970614,0.99694073,0.9968585,0.99682623
52,13.0,6.039013042397698,0.0,6.039013042397698,6.039013042397698,6.039013042397698,0.0,0,0.99729896,0.99946034,-42.273091296783896,0.99946034,0.9989816,0.998538,0.9982048,0.9978862,0.9976983,0.9975855,0.99748087,0.9973996,0.99733114,0.99729896
53,13.25,7.618830773281775,0.0,7.618830773281775,7.618830773281775,7.618830773281775,0.0,0,0.9966209,0.9993294,-53.331815412972425,0.9993294,0.9987291,0.99817395,0.997761,0.99738055,0.9971297,0.9969737,0.99682593,0.996727,0.99665314,0.9966209
54,13.5,8.94070842614479,0.039227907727040906,8.901480518417749,8.901480518417749,8.901480518417749,0.0,0,0.99583143,0.99922264,-62.31036362892424,0.99922264,0.99849546,0.99780655,0.9972678,0.99677503,0.9964483,0.99623334,0.996053,0.99593556,0.9958637,0.99583143
55,13.75,9.573108290636831,0.0785804153665744,9.494527875270258,9.494527875270258,9.494527875270258,0.0,0,0.9953202,0.9991731,-66.46169512689181,0.9991731,0.9983911,0.9976353,0.99704653,0.9964957,0.9961097,0.99584585,0.9956342,0.9954741,0.99535245,0.9953202
56,14.0,9.980751040315537,0.1178274584091746,9.862923581906363,9.862923581906363,9.862923581906363,0.0,0,0.9953293,0.9991426,-69.04046507334454,0.9991426,0.998344,0.99759036,0.99700725,0.99648345,0.9961208,0.99588156,0.99565166,0.9954732,0.99536157,0.9953293
57,14.25,10.95751498986563,0.1614671108912754,10.796047878974354,10.796047878974354,10.796047878974354,0.0,0,0.9946589,0.9990646,-75.57233515282047,0.9990646,0.99818105,0.9973199,0.9966475,0.9960025,0.9955668,0.9952823,0.99501485,0.99481833,0.99469113,0.9946589
58,14.5,13.295303248521677,0.6446259318672413,12.650677316654436,12.650677316654436,12.650677316654436,0.0,0,0.9937279,0.99890906,-88.55474121658104,0.99890906,0.9978533,0.99683857,0.9960367,0.9952696,0.99476194,0.9944281,0.9941328,0.99390614,0.9937602,0.9937279
59,14.75,13.506232692426986,1.1054968986344162,12.40073579379257,12.40073579379257,12.40073579379257,0.0,0,0.9938886,0.99892896,-86.80515055654799,0.99892896,0.99791056,0.9969252,0.99614453,0.9954216,0.9949106,0.99457157,0.9942822,0.9940759,0.9939209,0.9938886
60,15.0,11.321472758478453,1.567622402518563,9.75385035595989,9.75385035595989,9.75385035595989,0.0,0,0.99459696,0.99914783,-68.27695249171924,0.99914783,0.9983558,0.9975994,0.9969071,0.99628687,0.99571824,0.99534816,0.9950166,0.9947953,0.99462926,0.99459696
61,15.25,12.270719453353749,2.095702238018883,10.175017215334865,10.175017215334865,10.175017215334865,0.0,0,0.99428,0.99911153,-71.22512050734404,0.99911153,0.9982942,0.9975161,0.99677306,0.9961071,0.9955083,0.99511147,0.99475944,0.99450266,0.9943123,0.99428
62,15.5,13.96630148534234,2.6319796266475137,11.334321858694826,11.334321858694826,11.334321858694826,0.0,0,0.99347675,0.9990136,-79.34025301086379,0.9990136,0.9980849,0.99720275,0.99635684,0.9956081,0.9949158,0.9944516,0.9940291,0.99372554,0.99350905,0.99347675
63,15.75,12.430004532469923,3.2491170823040427,9.18088745016588,9.18088745016588,9.18088745016588,0.0,0,0.99465436,0.9991917,-64.26621215116116,0.9991917,0.9984509,0.9977431,0.9970967,0.9965223,0.9960018,0.99555796,0.99515855,0.9948865,0.9946866,0.99465436
64,16.0,12.923100615060479,3.8357393004506983,9.08736131460978,9.08736131460978,9.08736131460978,0.0,0,0.99489427,0.99919844,-63.61152920226847,0.99919844,0.99847597,0.99780035,0.99718165,0.9966493,0.99615103,0.9957634,0.99543494,0.99514955,0.9949266,0.99489427
65,16.25,12.019777503893966,4.474750325095003,7.545027178798963,7.545027178798963,7.545027178798963,0.0,0,0.9959481,0.9993254,-53.54573351086716,0.9993254,0.9987327,0.9982161,0.9977038,0.9972946,0.9969231,0.99664545,0.99640137,0.99619853,0.9959803,0.9959481
66,16.5,11.720958641626295,5.497849767502449,6.223108874123846,6.223108874123846,6.223108874123846,0.0,0,0.9968801,0.9994329,-44.98783410428113,0.9994329,0.998937,0.9984704,0.99802697,0.99772084,0.9974303,0.99724245,0.9971164,0.9970317,0.9969123,0.9968801
67,16.75,11.717236429580943,6.414247220780442,5.302989208800501,5.302989208800501,5.302989208800501,0.0,0,0.9974729,0.9995073,-40.25897908451034,0.9995073,0.99910057,0.9987291,0.9983519,0.99811745,0.9979017,0.9977727,0.9976905,0.99763083,0.99750507,0.9974729
68,17.0,11.189663819173889,7.107038876567335,4.082624942606554,4.082624942606554,4.082624942606554,0.0,0,0.9979332,0.9996068,-32.43626698541407,0.9996068,0.99929816,0.99899,0.9986743,0.99850225,0.99833,0.99823934,0.9981251,0.99807113,0.99796534,0.9979332
69,17.25,12.515960221628191,7.869728935914292,4.646231285713899,4.646231285713899,4.646231285713899,0.0,0,0.9978277,0.99955857,-37.5762519948657,0.99955857,0.99920714,0.99889266,0.99856895,0.99841,0.9982421,0.99816,0.9980487,0.9979882,0.9978599,0.9978277
70,17.5,8.185907133374265,10.803990651828595,0.0,-2.6180835184543305,0.0,2.6180835184543305,0,0.99982744,1.0002534,-1.4902921994359701,1.0001523,1.0002534,1.0002438,1.0001528,1.0001396,1.0000538,1.0000563,1.0000036,0.9999854,0.9998595,0.99982744
71,17.75,8.099746355546856,12.141070986423541,0.0,-4.0413246308766855,0.0,4.0413246308766855,0,1.0002668,1.0006516,6.154040673962902,1.0002668,1.0004785,1.0005785,1.0005692,1.0006034,1.0005807,1.0006332,1.0006115,1.0006516,1.0005634,1.0005313
72,18.0,7.550447135548726,15.057629162159369,0.0,-7.507182026610643,0.0,7.507182026610643,0,1.000546,1.0020304,53.77347853905269,1.000546,1.0009856,1.0012408,1.0013865,1.0015942,1.0016713,1.0018418,1.0019225,1.0020304,1.0019233,1.0018913
73,18.25,7.318382330991192,16.91047080305861,0.0,-9.59208847206742,0.0,9.59208847206742,0,1.0007135,1.0027634,74.84314317919278,1.0007135,1.0013129,1.0017023,1.0019362,1.0022095,1.0023347,1.0025414,1.0026371,1.0027634,1.0026684,1.0026364
74,18.5,7.92039198508846,16.7420547747428,0.0,-8.82166278965434,0.0,8.82166278965434,0,1.0006505,1.0024338,64.6243759538941,1.0006505,1.0011731,1.0014948,1.0016987,1.0019667,1.0020843,1.0022736,1.0023324,1.0024338,1.0023044,1.0022724
75,18.75,9.07511745960639,17.050985464656296,0.0,-7.975868005049906,0.0,7.975868005049906,0,1.0005803,1.0018018,55.54563585656497,1.0005803,1.0010275,1.0012835,1.0013926,1.0015788,1.0016052,1.0017103,1.0017294,1.0018018,1.001676,1.0016439
76,19.0,8.479372351747744,17.706829422272914,0.0,-9.22745707052517,0.0,9.22745707052517,0,1.0006819,1.002344,69.86059490506607,1.0006819,1.0012482,1.0015571,1.0017045,1.0019025,1.001988,1.0021598,1.002232,1.002344,1.0022426,1.0022105
77,19.25,7.317798822878467,16.6502291691246,0.0,-9.332430346246133,0.0,9.332430346246133,0,1.0006927,1.002638,71.70349718758396,1.0006927,1.0012552,1.0016072,1.0018228,1.0021054,1.002232,1.0024168,1.00251,1.002638,1.0025365,1.0025045
78,19.5,7.989968848295878,17.40873193317388,0.0,-9.418763084878002,0.0,9.418763084878002,0,1.0006982,1.0026653,72.41263867639859,1.0006982,1.001267,1.0016221,1.001811,1.0020555,1.0021994,1.0024133,1.0025089,1.0026653,1.002589,1.0025569
79,19.75,7.58909685921629,17.227288883918046,0.0,-9.638192024701755,0.0,9.638192024701755,0,1.0007167,1.0027645,72.33102971809204,1.0007167,1.0012968,1.0016434,1.00186,1.002131,1.0022805,1.0025008,1.0026029,1.0027645,1.0026479,1.0026158
80,20.0,8.236848713708815,16.517996224745573,0.0,-8.281147511036759,0.0,8.281147511036759,0,1.0006065,1.0022418,60.57167756868237,1.0006065,1.0011114,1.0014199,1.0015806,1.0018007,1.0018821,1.0020399,1.002123,1.0022418,1.0021206,1.0020887
81,20.25,6.964477627132372,16.67343498565444,0.0,-9.708957358522067,0.0,9.708957358522067,0,1.0007236,1.002779,75.29822044510601,1.0007236,1.0013229,1.0017389,1.0019662,1.0022494,1.0023714,1.0025655,1.0026518,1.002779,1.00269,1.0026579
82,20.5,8.163704714244052,18.43778616082178,0.0,-10.274081446577728,0.0,10.274081446577728,0,1.0007663,1.0028481,78.23672843505827,1.0007663,1.0014029,1.0017979,1.0020301,1.0023092,1.0024204,1.0026182,1.0027086,1.0028481,1.0027335,1.0027015
83,20.75,8.320497801078481,18.374366051094796,0.0,-10.053868250016315,0.0,10.053868250016315,0,1.0007484,1.0025125,76.47551592200493,1.0007484,1.0013616,1.0017117,1.0018879,1.0021209,1.0022173,1.002376,1.002411,1.0025125,1.0024045,1.0023725
84,21.0,7.5135381017121965,18.44615701822485,0.0,-10.932618916512652,0.0,10.932618916512652,0,1.0008205,1.0029161,84.39580752285738,1.0008205,1.0014945,1.0019075,1.0021335,1.0024163,1.0025234,1.0027173,1.002797,1.0029161,1.0028055,1.0027735
85,21.25,7.307888221838058,18.880849548540876,0.0,-11.572961326702817,0.0,11.572961326702817,0,1.0008721,1.003269,92.95988422744676,1.0008721,1.001584,1.0020264,1.0022945,1.0026007,1.0027529,1.0029871,1.0031075,1.003269,1.003189,1.003157
86,21.5,7.7862955831415315,18.382285175000717,0.0,-10.595989591859187,0.0,10.595989591859187,0,1.0007929,1.0031041,80.23582736801875,1.0007929,1.0014541,1.00191,1.0021783,1.0024981,1.0026407,1.0028533,1.0029422,1.0031041,1.0029842,1.0029522
87,21.75,7.733296196605295,17.061145560058833,0.0,-9.327849363453538,0.0,9.327849363453538,0,1.0006915,1.0025334,71.17717567700245,1.0006915,1.0012476,1.0015934,1.0017804,1.0020419,1.0021663,1.0023508,1.0024188,1.0025334,1.0024444,1.0024123
88,22.0,8.268832344602343,17.017420817576763,0.0,-8.74858847297442,0.0,8.74858847297442,0,1.000644,1.002381,64.0959922843004,1.000644,1.0011557,1.0014516,1.0016232,1.0018547,1.0019497,1.0021473,1.0022451,1.002381,1.0022762,1.0022442
89,22.25,8.110486467241447,15.79786900174629,0.0,-7.687382534504843,0.0,7.687382534504843,0,1.0005592,1.0019286,55.491329461313285,1.0005592,1.0010283,1.0013102,1.0014366,1.0016059,1.0016646,1.0018079,1.0018437,1.0019286,1.0018175,1.0017854
90,22.5,8.038246445321882,14.32864525674788,0.0,-6.290398811425998,0.0,6.290398811425998,0,1.0004474,1.0013723,43.269569665958514,1.0004474,1.0008073,1.000999,1.0010678,1.001189,1.0011897,1.0012788,1.0013019,1.0013723,1.0012795,1.0012474
91,22.75,7.9160750268564355,13.183320955649108,0.0,-5.267245928792673,0.0,5.267245928792673,0,1.0003656,1.0012686,35.41893469651125,1.0003656,1.000673,1.0008302,1.0008938,1.0010127,1.0010588,1.0011761,1.0012085,1.0012686,1.0011666,1.0011345
92,23.0,7.8044252278858846,12.07411051321303,0.0,-4.269685285327146,0.0,4.269685285327146,0,1.0002857,1.0005941,-15.670551424276322,1.0002857,1.0005121,1.0005941,1.0005515,1.0005889,1.0005316,1.0005599,1.0005262,1.0005436,1.0004213,1.0003892
93,23.25,7.227006605462006,10.870509295443068,0.0,-3.6435026899810614,0.0,3.6435026899810614,0,1.0001575,1.0004512,-12.781869021945372,1.0002367,1.000404,1.0004512,1.0004122,1.0004127,1.0003451,1.0003572,1.0003043,1.0003022,1.0001895,1.0001575
94,23.5,7.575639552430147,9.72718739259178,0.0,-2.1515478401616335,0.0,2.1515478401616335,0,0.9997973,1.0002015,-13.517530292350282,1.0001162,1.0002015,1.0001947,1.0001072,1.0000751,0.99999887,1.000005,0.99995667,0.99994856,0.9998294,0.9997973
95,23.75,7.480578850587111,8.602329865482616,0.0,-1.121751014895505,0.0,1.121751014895505,0,0.9992492,1.0000336,-14.696715441764109,1.0000336,1.0000201,0.999926,0.99977964,0.9996909,0.99959254,0.9995668,0.99947166,0.999424,0.99928135,0.9992492
