step,hour,total_load,total_solar,net_demand,grid_power,grid_import,grid_export,voltage_violations,min_voltage,max_voltage,reward,voltage_node_0,voltage_node_1,voltage_node_2,voltage_node_3,voltage_node_4,voltage_node_5,voltage_node_6,voltage_node_7,voltage_node_8,voltage_node_9,voltage_node_10
19,4.75,5.699074617081072,0.0,5.699074617081072,5.699074617081072,5.699074617081072,0.0,0,0.9969201,0.99948823,-23.936113391740502,0.99948823,0.99901414,0.9985811,0.9981797,0.9978144,0.9975484,0.99735343,0.99718875,0.99705076,0.99695235,0.9969201
20,5.0,6.403131549216006,0.0,6.403131549216006,6.403131549216006,6.403131549216006,0.0,0,0.9969349,0.99943006,-26.89315250670723,0.99943006,0.99891084,0.998428,0.9980432,0.99770397,0.99746954,0.99731594,0.99717873,0.9970599,0.9969671,0.9969349
21,5.25,6.794412276552287,0.0927178542989521,6.701694422253335,6.701694422253335,6.701694422253335,0.0,0,0.9966647,0.9994051,-28.147116573464,0.9994051,0.9988626,0.9983721,0.99797654,0.99760383,0.9973168,0.9971151,0.9969278,0.99679536,0.99669695,0.9966647
22,5.5,7.758240647325231,1.4325094890990469,6.325731158226184,6.325731158226184,6.325731158226184,0.0,0,0.9967847,0.9994332,-26.56807086454998,0.9994332,0.9988999,0.9983994,0.99798334,0.9976047,0.99735045,0.99717313,0.99702793,0.9969092,0.99681693,0.9967847
23,5.75,7.246815650877238,0.0,7.246815650877238,7.246815650877238,7.246815650877238,0.0,0,0.99683154,0.99936026,-30.4366257336844,0.99936026,0.99879277,0.99826753,0.99787396,0.99749786,0.9972788,0.99714977,0.9970306,0.9969395,0.9968637,0.99683154
24,6.0,9.14259692793813,0.0,9.14259692793813,9.14259692793813,9.14259692793813,0.0,0,0.99601716,0.99920297,-63.998178495566904,0.99920297,0.99848956,0.99783033,0.9973409,0.9968906,0.99659586,0.99641496,0.99624395,0.99613166,0.9960494,0.99601716
25,6.25,10.728850111373747,4.099276410924013,6.629573700449734,6.629573700449734,6.629573700449734,0.0,0,0.99654406,0.99940205,-47.545002922964024,0.99940205,0.998809,0.9982071,0.9977292,0.99730647,0.9970309,0.99688935,0.996735,0.9966561,0.9965763,0.99654406
26,6.5,11.487729948764198,3.751207550510035,7.736522398254163,7.736522398254163,7.736522398254163,0.0,0,0.9957872,0.9993108,-55.23974435649261,0.9993108,0.9986253,0.997922,0.9973683,0.9968601,0.9965028,0.99629205,0.9960945,0.99595886,0.99581945,0.9957872
27,6.75,11.976901248378642,2.9716499350211882,9.005251313357453,9.005251313357453,9.005251313357453,0.0,0,0.9954961,0.9992074,-64.13009977658474,0.9992074,0.99844617,0.9977008,0.9971206,0.9966116,0.99625987,0.9960561,0.9958251,0.99565583,0.99552834,0.9954961
28,7.0,13.149017987838754,6.576786429091209,6.572231558747545,6.572231558747545,6.572231558747545,0.0,0,0.99598736,0.999401,-52.569269180448984,0.999401,0.99877703,0.99809396,0.99754965,0.9970382,0.9966957,0.99653447,0.9963075,0.9961656,0.9960196,0.99598736
29,7.25,15.954363898226012,5.632268328707495,10.322095569518517,10.322095569518517,10.322095569518517,0.0,0,0.9943103,0.9990914,-75.21579527797942,0.9990914,0.99815667,0.9972067,0.9964461,0.9957271,0.99525726,0.99499595,0.99471235,0.9945111,0.9943426,0.9943103
30,7.5,16.207479230912384,10.42346510956666,5.784014121345724,5.784014121345724,5.784014121345724,0.0,0,0.99605024,0.99945766,-51.71125382997347,0.99945766,0.9988525,0.99816877,0.9976058,0.997112,0.99675447,0.99660295,0.9963826,0.9962616,0.9960825,0.99605024
31,7.75,13.585767310174145,9.540939981304039,4.044827328870106,4.044827328870106,4.044827328870106,0.0,0,0.9963717,0.9996037,-39.27568512266362,0.9996037,0.99917233,0.99868256,0.9981664,0.9977366,0.997272,0.99704546,0.9967548,0.9965964,0.99640393,0.9963717
32,8.0,14.724863344024497,11.9387707250304,2.786092618994097,2.786092618994097,2.786092618994097,0.0,0,0.99666286,0.9997026,-35.303365216032134,0.9997026,0.99935853,0.99894136,0.9984404,0.99803174,0.99758554,0.99738127,0.9970919,0.9969166,0.9966951,0.99666286
33,8.25,16.759561782410806,13.383871044847375,3.3756907375634313,3.3756907375634313,3.3756907375634313,0.0,0,0.99593866,0.9996502,-41.97687232666537,0.9996502,0.9992224,0.9987184,0.99811995,0.9976378,0.9970955,0.9968264,0.9964538,0.99622357,0.9959709,0.99593866
34,8.5,14.916005438963905,15.510230141173281,0.0,-0.5942247022093756,0.0,0.5942247022093756,0,0.9987154,1.0000544,-20.785965507331134,1.0000544,1.0000284,0.99989784,0.9996797,0.9995478,0.99933237,0.99920875,0.9989624,0.9988683,0.9987154,0.99876285
35,8.75,15.507720738072575,16.689628790953297,0.0,-1.181908052880722,0.0,1.181908052880722,0,0.999636,1.0002207,-19.83647622815995,1.0001478,1.0002207,1.0001969,1.000075,1.0000563,0.99993,0.99993604,0.9998268,0.999769,0.999636,0.99973077
36,9.0,14.423733004672759,17.197073636060033,0.0,-2.773340631387274,0.0,2.773340631387274,0,1.0004053,1.002269,-19.998675058966235,1.0004053,1.0007337,1.0010085,1.0011317,1.001378,1.001521,1.001776,1.0018871,1.0020474,1.0020473,1.002269
37,9.25,14.065150369951555,17.943849557612204,0.0,-3.878699187660649,0.0,3.878699187660649,0,1.0005825,1.0043057,-15.26798286673814,1.0005825,1.0010886,1.0014983,1.0017934,1.0022528,1.0025907,1.003051,1.003396,1.0037904,1.0039961,1.0043057
38,9.5,14.060683715497131,18.75231878193346,0.0,-4.69163506643633,0.0,4.69163506643633,0,1.000712,1.0056136,-12.735457196667065,1.000712,1.0013691,1.0019441,1.0023704,1.0029675,1.0034505,1.004037,1.0044934,1.0049766,1.0052394,1.0056136
39,9.75,13.427596583008667,20.611044854206376,0.0,-7.18344827119771,0.0,7.18344827119771,0,1.00111,1.0086062,-13.408832226340916,1.00111,1.0021348,1.0030314,1.0037533,1.0046467,1.0053926,1.0062355,1.0068572,1.0075506,1.0080347,1.0086062
40,10.0,15.019152265953831,17.950847044694214,0.0,-2.9316947787403826,0.0,2.9316947787403826,0,1.0004292,1.0034587,-29.0249221816349,1.0004292,1.0008322,1.0011803,1.0014054,1.0018276,1.0021491,1.0025731,1.0028086,1.0031047,1.0032243,1.0034587
41,10.25,9.823088560049117,22.605837846824357,0.0,-12.78274928677524,0.0,12.78274928677524,0,1.0020036,1.0148598,-54.44023059128782,1.0020036,1.0037926,1.0053507,1.0066937,1.0081295,1.0093728,1.0107212,1.0118146,1.012949,1.0138489,1.0148598
42,10.5,9.719695626656225,20.10043772617749,0.0,-10.380742099521264,0.0,10.380742099521264,0,1.0016246,1.0122218,-0.537900006029826,1.0016246,1.0030936,1.0043812,1.005497,1.0066648,1.0076927,1.0088103,1.0096898,1.0106426,1.0113989,1.0122218
43,10.75,9.060536562658472,20.806489203134003,0.0,-11.745952640475531,0.0,11.745952640475531,0,1.0018413,1.0137466,4.794836097244353,1.0018413,1.003465,1.0048653,1.006113,1.0074348,1.0085964,1.0098695,1.0109069,1.0119767,1.0128171,1.0137466
44,11.0,8.78205879718943,23.940585862186097,0.0,-15.158527064996667,0.0,15.158527064996667,0,1.0023777,1.0179877,10.665234133715114,1.0023777,1.0045158,1.0064077,1.0080901,1.0098196,1.011344,1.0129653,1.0143007,1.0156722,1.0167928,1.0179877
45,11.25,9.504470382106152,25.030567157560377,0.0,-15.526096775454224,0.0,15.526096775454224,0,1.0024339,1.0182834,17.197618450779835,1.0024339,1.0046053,1.006518,1.0082165,1.0099915,1.011556,1.013206,1.0145535,1.0159515,1.0170599,1.0182834
46,11.5,10.89014095152767,23.376215072337715,0.0,-12.486074120810045,0.0,12.486074120810045,0,1.0019544,1.0144787,-0.34704385506443886,1.0019544,1.0036683,1.0051662,1.006485,1.007896,1.0091153,1.0104288,1.01149,1.0126147,1.013491,1.0144787
