step,hour,total_load,total_solar,net_demand,grid_power,grid_import,grid_export,voltage_violations,min_voltage,max_voltage,reward,voltage_node_0,voltage_node_1,voltage_node_2,voltage_node_3,voltage_node_4,voltage_node_5,voltage_node_6,voltage_node_7,voltage_node_8,voltage_node_9,voltage_node_10
19,4.75,4.179321385859453,0.0,4.179321385859453,4.179321385859453,4.179321385859453,0.0,0,0.9976442,0.9996142,-17.5531498206097,0.9996142,0.9992571,0.99893004,0.99862725,0.998351,0.9981475,0.99799603,0.99786675,0.9977571,0.9976763,0.9976442
20,5.0,4.695629802758405,0.0,4.695629802758405,4.695629802758405,4.695629802758405,0.0,0,0.997655,0.9995715,-19.7216451715853,0.9995715,0.99918133,0.9988178,0.9985272,0.99827003,0.9980896,0.9979685,0.99785936,0.9977637,0.9976871,0.997655
21,5.25,4.982569002805009,0.0927178542989521,4.889851148506057,4.889851148506057,4.889851148506057,0.0,0,0.997466,0.99955523,-20.537374823725443,0.99955523,0.9991497,0.99878186,0.9984844,0.9982037,0.9979854,0.9978297,0.9976842,0.9975789,0.9974982,0.997466
22,5.5,5.6893764747051705,1.4325094890990469,4.256866985606123,4.256866985606123,4.256866985606123,0.0,0,0.99768364,0.99960464,-17.87884133954572,0.99960464,0.9992298,0.9988738,0.99857557,0.9983048,0.99812025,0.99799204,0.9978823,0.997792,0.9977158,0.99768364
23,5.75,5.314331477309975,0.0,5.314331477309975,5.314331477309975,5.314331477309975,0.0,0,0.9975792,0.99952036,-22.320192204701893,0.99952036,0.99909484,0.9987002,0.9984032,0.998119,0.9979499,0.9978468,0.9977509,0.99767554,0.9976114,0.9975792
24,6.0,6.704571080487962,0.0,6.704571080487962,6.704571080487962,6.704571080487962,0.0,0,0.9969829,0.99940515,-46.931997563415734,0.99940515,0.9988727,0.99838,0.99801284,0.9976743,0.99744976,0.9973087,0.9971748,0.9970839,0.99701506,0.9969829
25,6.25,7.867823415007415,4.099276410924013,3.768547004083402,3.768547004083402,3.768547004083402,0.0,0,0.9977656,0.99963915,-29.55980404469802,0.99963915,0.99926835,0.9988762,0.99856114,0.9982865,0.9981056,0.99802285,0.99791616,0.9978648,0.9977978,0.9977656
26,6.5,8.424335295760411,3.751207550510035,4.673127745250376,4.673127745250376,4.673127745250376,0.0,0,0.9971781,0.99956495,-35.31444882481126,0.99956495,0.99912024,0.99864894,0.9982747,0.9979338,0.99769056,0.9975547,0.9974152,0.99732095,0.99721026,0.9971781
27,6.75,8.783060915477673,2.9716499350211882,5.811410980456484,5.811410980456484,5.811410980456484,0.0,0,0.9968895,0.99947244,-41.907266638994244,0.99947244,0.9989583,0.9984451,0.9980432,0.99769336,0.9974486,0.99731225,0.99714535,0.99702364,0.9969217,0.9968895
28,7.0,9.642613191081752,6.576786429091209,3.065826761990543,3.065826761990543,3.065826761990543,0.0,0,0.9975982,0.9996917,-30.037118298104936,0.9996917,0.99934274,0.9989267,0.9985894,0.9982762,0.9980642,0.997985,0.99783427,0.9977458,0.99763036,0.9975982
29,7.25,11.699866858699075,5.632268328707495,6.06759852999158,6.06759852999158,6.06759852999158,0.0,0,0.99628043,0.99944496,-47.04867505234702,0.99944496,0.9988517,0.99822694,0.9977215,0.9972465,0.99693465,0.9967754,0.9965799,0.9964446,0.9963127,0.99628043
30,7.5,11.885484769335749,10.42346510956666,1.4620196597690889,1.4620196597690889,1.4620196597690889,0.0,0,0.9980165,0.99981594,-24.428364487457902,0.99981594,0.99954957,0.99918795,0.998878,0.99861866,0.9984235,0.9983792,0.9982473,0.99818826,0.9980486,0.9980165
31,7.75,9.962896027461039,9.540939981304039,0.4219560461569998,0.4219560461569998,0.4219560461569998,0.0,0,0.9981662,0.9999038,-19.13401657556522,0.9999038,0.9997489,0.9995167,0.9992316,0.99900967,0.9987297,0.998624,0.9984375,0.9983478,0.99819833,0.9981662
